hgnc_symbol,stage_I,stage_II,stage_III,stage_IV
RPS13,3552.5,3492,2060.5,2597.5
AIP,751,814,340.6,367.5
NUP98,270.5,487,929.5,899
NDUFS8,310.5,566,6.55,513.5
TCIRG1,66.29,0.11,0.9,16.55
HPS5,74.63,260,5.725,25.315
GTF2H1,426.5,1078,76.5,2022
POU2AF1,34.016,0.51,0.845,0.8
PSMD9,818,582,893.145,202.5
PPFIBP1,0.0995,0.035,0.033,0.065
CD69,1071,5277,1356,620.5
PRDM4,154,354,922.3,2.35
CLEC2B,2045,3738,492.15,459
COQ5,36.675,187,409,100.25
SELPLG,560.5,963,404.5,505
CORO1C,21.8,416,60.6,1.65
CAPRIN2,33.065,0.18,46.5325,0.92
KCTD10,78,105,415.5345,142.6
SLC11A2,341,49,0.22,339.5
MLEC,474.5,0.21,0.121,23.63
CSRNP2,236.5,97,478.12,63.513
CAMKK2,36,139,1.716,0.105
BIN2,366,1568,219.74,37.175
IL23A,0.185,399,1.265,0.0265
ATP5F1B,1694.5,1825,953,3349
PTGES3,1887.5,2705,387.5,2626
RSRC2,2629,3296,1105.5,3251.5
METAP2,1352.5,1092,471.5,532
LTA4H,73.175,1404,631.5,261.5
ELK3,392.95,971,1175.5,658.5
MAGOHB,49.5,39,151.017,124.825
ITFG2,249,3.1,0.6485,0.185
ARPC3,2789,7223,979,2321.5
GPN3,58.35,218,25.935,287.175
VPS29,1129.5,1087,1723.5,1009.5
RAD51AP1,0.136,0.79,0.24,0.105
SH2B3,22,424,0.355,9.05
DUSP16,501,631,1253.5,486
CREBL2,534.5,848,62.4,755
ALDH2,1.35,0.07,0.445,0.08
CDKN1B,196.5,465,645.5,728
NAA25,58.5325,50,1465,188
CDK2AP1,8.05,0.56,0.115,74.5
OAS3,202.24,803,22.645,32
OAS2,20.9,299,109.5,185.5
ARHGDIB,25418,37401,15355.5,17761
EIF2B1,359,600,362.205,132.6
DDX55,185.13,1274,231.5,82
SLC38A1,5095,5190,1507,3616
C12orf49,6.5,0.56,0.41,0.725
VDR,195.5,474,578,411
RFC5,383,0.035,0.083,0.044
STX2,25.675,3.2,4.2,96.525
COPZ1,701,742,267.21,195.025
CAND1,318.76,98,51.79,414
IL26,54.5,3.2,26.565,36
RAB5B,27.15,1.7,147.605,1033
MDM1,141.5,190,4.325,184
NUP107,44.115,554,0.65,765
CNOT2,602.5,2427,997.5,729.5
TIMELESS,20.58,0.4,0.016,0.055
CPSF6,688,428,69,398.5
KRR1,662,439,893.5,1229
MRPL51,1916,2056,816.5,875.5
GAPDH,7265,10051,5992,6813.5
NOP2,49.935,239,0.0655,147.5
CHD4,1830.5,1232,539,181
UHRF1BP1L,202.5,251,1.53,315.5
ING4,37.016,0.053,0.016,0.0515
CDCA3,0.072,0.035,0.145,0.0395
CHPT1,10.325,27,0.19,0.235
USP5,1.966,18,11.016,32
TPI1,2481,4367,3280.5,4383.5
GNPTAB,114.5,288,292.5,246
ENO2,52.016,0.21,0.0505,36.5
ATN1,6.516,4.9,10.5,45
C12orf57,1161.5,531,48.435,843
PTPN6,150.5,0.35,0.405,988.5
LPCAT3,153.5,4.7,0.115,0.0645
NT5DC3,0.0555,0.07,0.016,0.17
SUDS3,94.405,196,123.517,647
GOLT1B,331.29,641,0.47,53.5
LDHB,3189.5,4345,1626,3493
PRKAB1,73.5325,598,0.7,72
CMAS,74.74,337,0.0825,33.4
HCFC2,87,101,35.516,124.75
ST8SIA1,54.5,656,0.017,294
CLEC4A,0.621,0.018,52.5,0.08
C2CD5,51,253,182.016,647.5
RAB35,25.5,6.3,13.2,1.525
PHC1,145.5,94,530.245,17.5
COX6A1,3159.5,5929,3872.5,3480
SRSF9,195.5,302,606.5,1.2
FGFR1OP2,1041.5,1445,1868,650.5
KLRB1,2873,3581,2764.5,2011.5
BTN3A3,105,0.3,0.567,79.115
TDP2,201.5,118,205.565,484
DSE,112.5325,93,725.78,408.825
RWDD1,563,92,659.5,496.5
MAK,15.5,118,0.145,2.455
TMEM14C,186.4,834,208.5,113
PAK1IP1,218.08,497,231.5,33.575
SMIM8,42.115,0.21,0.0485,0.35
NEDD9,260.5,693,158.5,332
CEP85L,248.8,602,10.25,325.91
ADTRP,2.1,25,4.895,148.5
ASF1A,1113,1327,1790,588
MCM9,86.15,259,24.8,272
FAM184A,55.5485,0.018,157,386
RNGTT,732,0.16,271.105,157.5
MAN1A1,456.5,205,21.8,342.675
SERINC1,1227,2555,887.5,1007
HDDC2,383,789,12.405,27.25
HINT3,29.175,507,0.016,159.05
NCOA7,660.5,111,184,208
RIPOR2,470.5,780,284.6,146.5
FBXO5,271.5,13,18.69,50.55
MTRF1L,182.15,0.54,7.0325,91
PPARD,0.014,115,0.186,0.0265
FANCE,0.03,0.035,3.9,0.0265
MAPK14,198.5415,294,0.016,663.1
KCTD20,268.5,1217,500.805,686
STK38,245.5,408,480.5,413.1
SRSF3,7148.5,3581,1447.5,10352.5
SOD2,764.5,930,279,707
MRPL18,343,399,390.2,542
IL17A,75.5,4452,0.017,58
IL17F,156.5,595,121,6.05
MCM3,399.5,192,12.35,44.825
RNF8,1.825,430,164.65,346
PHACTR1,29.885,2.5,4.26,131.7
FBXO9,52.985,91,308.5,317
CD83,586,172,229.65,1207
MDN1,191.595,364,41.485,279
SAYSD1,11.065,0.18,276,624
BACH2,13.385,1.3,2.9325,20.075
ZNF451,384.5,717,263.5,347.5
BAG2,27.5485,141,36.5,0.055
FBXL4,1.765,215,0.016,63.5
CCNC,153.95,602,1112.7,953
E2F3,0.0995,510,27.65,81.25
PTP4A1,547,1173,1164,466
ASCC3,322,628,43.79,540.5
MED23,40.5,197,47.5,159.5
CRYBG1,722,1549,151.12,261.15
ACOT13,172,338,12.5,387.5
SMAP1,224,173,124,467
RPS12,2210,1476,2595,1482
C6orf62,13764,6633,5351.5,14204.5
B3GAT2,495.5,412,176.65,94.5
GMNN,89.87,317,1.155,165.25
SNX3,109.35,195,39.58,899.5
HBS1L,419,926,74,119
TRIM38,413,572,876,679.5
ZBTB24,138.5,301,185.63,4.25
FIG4,10.25,0.23,230,0.14
PERP,87.15,227,3.85,120.8
HECA,738.15,1618,3760,1479
PHACTR2,5286,3519,2704,5122.5
SLC39A7,6.26,0.12,1.15,0.913
CCR6,6420.5,3809,3874,2658.5
PHF1,206.5,129,0.0325,10.88
CUTA,660.5,972,465.5,720.5
QKI,565.5,611,108.5,725.5
TFEB,35.5,0.07,0.017,4.15
CCND3,185.5,474,50.517,12.45
FAM120B,179.5,95,47.0325,22.5
TBP,103.5,213,0.235,0.42
BICRAL,88,80,30.62,327.5
PPP2R5D,41.5,115,3.55,181
MRPL2,15.565,0.25,24.517,57.5
SRF,16.5325,593,468,1.35
CUL9,67,350,0.6,435.5
DNPH1,1073,595,750,665
DUSP22,15.115,97,2.0325,209
EXOC2,104.5,97,56.07,113.5
COX7A2,2093,4318,886.5,2673.5
TMEM30A,86.675,127,1116.5,385
GMDS,46.115,2.9,29.63,0.8
SENP6,514,500,594.5,546
VEGFA,0.116,0.12,1.8,12.6
PRPF4B,2254.5,2323,831.5,1683
TTK,0.0535,0.88,0.305,130.513
BTN2A1,170.87,576,483.5,89.45
TENT5A,113.805,0.37,0.0345,0.155
CLIC5,20.16,297,0.555,40.85
FBRSL1,1.216,121,0.033,0.675
LY86,4.745,0.4,0.221,0.49
ERBIN,1337,2520,151,457
HARS2,8.1,65,0.145,0.3
MAN2A1,557.5,1.5,203,85.5
TENT4A,384.66,0.77,0.225,206
HMGCS1,992.5,725,555,1235
DAP,492.5,201,0.39,0.925
BRD8,957.5,505,53.08,944.5
NNT,51.6,232,98.415,13
MRPS30,227,2115,7.0325,323
HSPA9,496.75,1367,12,696
MRPS27,80.45,500,199,461.025
PFDN1,182.5,473,680.5,490.5
HBEGF,0.965,24,0.18,0.145
GZMK,54.79,489,0.016,269
APBB3,177,0.07,0.07,0.055
SPARC,5.9,0.053,0.54,141
IK,1549.5,2264,1326,2994
HMGCR,82.34,0.61,42.435,3
CERT1,322,279,283.5,152.5
FAF2,436.5,6,260,91.025
CLK4,243,657,469,342.5
ITK,731,1387,2001,1139.5
RNF130,20.05,0.47,0.4,1.8395
THG1L,19.516,0.3,188.5,119.625
ARSB,471.5,60,221.5345,3.515
CLINT1,542,1248,970.5,226.5
CNOT6,48,37,289,604.5
TTC1,375,1310,291.5,932
MSH3,162.58,74,0.017,104.5
RASGRF2,149.5,0.053,0.016,63.17
CCNG1,241,1375,46,1931.5
DROSHA,164.5,0.33,4.9845,150.8
LMNB1,11,0.018,0.115,0.413
ARRDC3,899,1264,588,1845.5
GOLPH3,888.5,293,352,684
SUB1,7383.5,9761,5046.5,6078.5
FAM172A,88.5,12,0.7845,326.09
TARS1,339,846,705.5,1381
LNPEP,538.5,431,256.65,143.8
PDE4D,2094,2088,1288,2404.5
RAD1,29.2,54,218,516.5
BRIX1,778.5,645,696.5,939
PRLR,0.016,0.018,0.0325,0.025
SLC12A7,48.885,61,0.017,0.0395
RAD50,54.5,66,33.34,74
ST8SIA4,225.5,329,5.5,411
SKP1,4945.5,5922,2703.5,6214
NUP155,61.5,7.5,0.017,0.375
PPP2CA,955.65,1871,889,487
NR3C1,4910.5,3071,1423,4072.5
C5orf15,302,417,394.5,518.5
PPWD1,164.9,189,125.016,266
TRIM23,148.016,0.053,2.0825,13.4
TRAPPC13,747,1.1,162.5,481.5
SEC24A,114.805,219,188.13,398
TXNDC15,238.5,92,282.84,787.5
TTC33,4.315,155,619,72.525
RARS1,157.5,387,10.74,73
MACROH2A1,589.5,729,231,1450.5
TCERG1,862.5,821,980,344
SMAD5,233.5,3.1,69.55,0.12
CSNK1A1,7157,4938,2025,3832
HMGXB3,127.5,102,0.76,0.36
ERGIC1,15.595,11,0.085,0.395
ATP6V0E1,2704,3361,1937,3736
BNIP1,122.115,192,0.017,15.525
CPEB4,333.5,224,45.5,2047.5
ZNF346,10.016,0.49,0.016,0.435
SMC4,865,2429,1240.5,1278.5
SELENOK,4043.5,6435,2696.5,4056.5
ACTR8,22.5325,67,0.177,584
TBCCD1,26.65,323,48.516,57.62
TIMMDC1,151.4,698,94,79.05
CRBN,2335.5,901,988,1196.5
BCL6,184,317,135,43.9
NPHP3,319,92,0.0345,13.575
CD86,1.99,127,156,0.51
NIT2,372,185,0.097,27.375
FAM162A,287.35,713,609.5,198
KPNA1,212.5,290,671.5,1013
PCCB,197,90,101.0485,193.425
UBE3A,678,1198,40.065,96.2
ARMC8,326,1216,1068,12
SLC25A36,667,603,7.065,673
RNF7,478.5,690,565.67,583
TFDP2,57,8.2,0.195,0.13
XRN1,746.5,963,2114.5,1234
KAT2B,828.5,1604,876.5,851.5
PDCD10,1155,564,2577.5,1298.5
PRKAR2A,153.405,330,574.345,511.6
HES1,43.5,6.4,0.1145,12
USP4,239.5,1096,15.695,1043
ACAP2,537.5,731,627.5,148
GNAI2,802.5,417,633,645
TFG,512.5,423,6.35,317
TUSC2,81.65,193,16,555.5
RPL24,1977.5,3910,1665.5,2361.5
CYB561D2,152.5,441,293.517,122.525
FXR1,409.5,551,580,38
CBLB,710,947,348,1247
BBX,989.5,1815,95,1683.5
IFT57,232.565,223,654,343.5
GNB4,0.245,0.053,0.082,0.013
IQCG,71.065,0.07,0.0325,16.13
GBE1,13.065,423,1.28,46.175
UMPS,60.95,458,348.5,363.5
NCBP2,1016,70,183.5,459.5
SNX4,269.5,309,13.405,235
FRMD4B,593,1440,1068.5,204.5
SLC41A3,10.645,0.018,0.0485,162
ATP6V1A,434.5,538,120.05,178
ABTB1,20,42,0.017,65.575
KLHL18,25.55,80,19.175,198
SCAP,152.5,69,1.366,0.0265
MRPL3,128.34,421,250.017,135.075
MAPKAPK3,18.905,499,313.5325,3.85
WDR48,819,242,698,268.5
COMMD2,119.95,300,74.5,359
ABCC5,16.695,98,0.0495,0.55
ABHD14B,88.565,65,0.1145,140.5
EIF1B,763,610,0.017,358.225
ARHGEF26,2.2825,1.4,0.0325,133.525
KLHL24,433.5,695,518.19,178.9
SSR3,624.5,150,785.7,765.5
NKTR,2171.5,908,2700,1332.5
FOXP1,2355.5,2515,992,4376.5
EIF4G1,98.5,172,54.2,135.7
SPCS1,1504,2435,455,3047
INO80D,267.5,473,107.65,292.5
EEF1B2,1632,2014,1001.5,1513.5
DGUOK,1538.5,2541,120.4,1234.5
MOB1A,2700.5,1850,1181,2605.5
KANSL3,304.66,47,569,648
TTL,15.84,446,0.016,15.35
CCL20,3070.5,5583,945,2093.5
PIKFYVE,227.5,241,36.115,456.5
FAHD2A,169.5,0.018,0.016,2.85
NCL,3150.5,2994,1651.5,3381
ACTR1B,166,302,3.2325,81.05
SLC35F5,0.32,0.053,0.0325,154.775
ZAP70,234,328,464.017,221
ACTR3,3469.5,2082,1850.5,663
SF3B6,987,1325,404.5,1231.5
DNAJC27,28,0.053,0.016,0.16
STAM2,13.5,91,0.066,238
CYTIP,4012,5173,3557.5,2837
ACVR1,9.016,3.3,2.1,45.525
MPV17,388.5,770,70.5,69.67
GTF3C2,445,250,87.5,67
EIF2B4,282.45,86,38.2,161.5
NRBP1,393.47,502,233,649.8
ITGA4,1036.5,1326,2666.5,1657.5
PSMD14,290.5,2311,1088.5,1500.5
SNX17,710,121,476.57,947.5
ASB3,20.5325,159,436.5,211.9
PPM1G,321,1419,308.5,537.5
IFIH1,238.5485,32,2670.5,302
RPS15,3585,5287,4192.5,2947.5
GCA,0.52,45,77.516,120.025
INO80B,17.5,31,4.05,39.5
TTC31,3.2,0.035,38,0.275
NDUFS7,303,1469,661,463
PCGF1,22.145,96,0.9985,56
CLIP4,33.0325,101,71.516,5.45
SPTBN1,571,591,127,722
AUP1,345,10,8.34,658.5
RTN4,287,622,195.5,885
HTRA2,2.705,1.1,0.32,21
DOK1,64.55,0.21,0.086,0.7
GALNT3,1.95,78,0.3,2.315
CCDC88A,3.5,1.1,2.3,381.5
MRPL19,678,945,40.93,666
LANCL1,442.5,156,0.016,52.055
WDR75,65.775,3.2,26.1,20.485
FANCL,8.76,0.25,139.195,406.5
FN1,3.814,0.07,0.016,0.42
STAT1,1636.5,418,2150,2000
GLS,390,966,735.5,1827.5
PAPOLG,456.5,29,10,2.55
PECR,64.805,757,20,0.025
UNC50,65.725,73,46.7,279.5
ELMOD3,4.3,212,4.266,87.5
USP34,668.5,850,790.5,539
CCT4,311.5,301,917,621
GGCX,50,169,3.215,0.555
EHBP1,11.21,1.1,0.0485,0.155
TXNDC9,117.35,462,495,737.5
COQ10B,953,1121,180,1197
GNLY,3048,2014,1747,439
SF3B1,3839,5809,4150,3277.5
ST3GAL5,105.5,80,15.175,248
PDCL3,2471.5,4183,1455,4253
MOB4,83.5,646,237.6,733.5
HSPE1,2019,3178,2148,1242.5
KDM3A,100,575,531.5,144.5
CHMP3,233.65,151,70.5,45.5
ZNF142,22.5,0.018,312,3.8
IL1R2,1959,594,666,964.5
IL1R1,850.5,1868,38.4,1107.5
IL18R1,588.5,276,593,198
IL18RAP,577,182,18.595,112.145
CNPPD1,349,230,350.35,18.5
UXS1,585,1051,272.5,454.5
HDLBP,297.15,713,336,171
PPP1R7,288.95,535,831.5,409
PASK,442,867,341.5,625
STK25,3.675,5.1,34.66,127
ID2,3719.5,2810,818.5,1726
TAF1B,22,44,255,4.65
HPCAL1,1.28,64,0.21,296
ODC1,97.615,242,190,9.95
BIRC6,516.5,575,283,1241.5
NOL10,254,89,64.595,120.025
PLEKHB2,1404,1985,690,922.5
GORASP2,508,381,0.2375,467
STRN,7.5,11,20.42,390.5
CEBPZ,549.5,1097,563.5,625
PRKD3,310.5,132,58,212
QPCT,391,251,1.49,0.695
RAB3GAP1,80.84,73,148.805,178.55
DARS1,97.5,748,429.95,1032
SRSF7,4002.5,4281,1363.5,4747
SDC1,0.3815,0.053,1.14,1.105
SLC1A4,87.35,138,1077,765.6
SOS1,79.15,501,45.8,468.5
KYNU,0.564,14,1.9,0.55
WIPF1,3902,2504,5532,1827
ORC2,142.9,0.17,210.016,0.315
COX7A2L,2012.5,1516,651,403
PNO1,66.1,79,353,393.5
ORC4,59.45,0.26,0.307,174.9
PLEK,29.3,272,3.8,15.4
ATF2,125.855,260,0.1145,345.3
THADA,321.5,552,0.22,445.5
AAK1,1217,1139,885.5,498.5
TRAK2,76.5,33,1.1845,255.525
C2orf42,4.366,0.23,0.016,15.565
TIA1,695.5,924,141.5,556.5
PCYOX1,26.195,36,0.46,106.525
EPAS1,141,1.4,7.5,220.59
ARID3A,5.016,63,0.87,0.675
SUMO1,1322,3109,3289,2760
NFE2L2,1441,1400,1218,403.5
MSH6,128.55,411,25.7,617.55
PLEKHA3,438,532,916.5,108.5
EPHA4,135.5,0.053,0.0325,0.105
FARSB,74.08,1114,191.5485,0.675
ALMS1,88.115,125,0.47,73.025
DHCR24,1.257,0.035,0.0505,0.125
DNAJC16,1162.5,0.053,0.235,176
MORN1,0.0485,0.035,0.017,0.09
GPX7,22.9,36,583,0.0265
CACYBP,2373.5,3361,5000,5586
SCP2,1741.5,975,5.005,733
RALGPS2,67.695,0.33,0.0325,0.445
CEP104,132.5,19,0.0495,55
FAM20B,5.63,0.72,118,173.1
TMEM59,4324.5,4462,672.5,4363.5
LRRC42,38.5,0.26,0.1185,111.5
WRAP73,432,23,15.585,331.5
MRPL37,208.9,716,715.5,859
ICMT,205.5,9.2,0.34,9.05
RPL22,1036,1188,994,1123
QSOX1,38.95,68,0.375,0.145
STXBP3,1013.5,735,288,973
PHF13,0.165,81,0.8,0.225
ERRFI1,54.0485,0.018,0.033,43.0265
PARK7,1746.5,4236,898,3183.5
KIAA1324,29.7,0.035,0.0485,0.08
AMPD2,44.675,51,174.895,569.5
SRSF4,288,1516,114,1015.5
MECR,52.695,0.25,0.45,5
EDEM3,196,151,42.7,1023.5
WDR77,93,6.9,0.46,0.395
ATP5PB,1713.5,1377,1078,1430.5
RAP1A,805.5,2381,2849.5,1187
HDAC1,407,883,660,581.5
CAPZA1,19916.5,6811,7809,11968.5
S100PBP,36.065,1,0.0995,0.235
RNF19B,277,327,419.5,188
SCAMP3,785.5,459,43.29,359
TRIM62,40,58,0.295,0.025
ASH1L,651.5,3041,1929,393.725
SFPQ,2011,2355,2347,2449.5
GON4L,1398.5,172,83.15,262.725
ARHGEF2,78.5,32,58.58,123
LAMTOR2,585,502,225.5,136.2
MEF2D,101.5,27,52.5345,0.1265
SRM,20.95,1.7,49.915,0.13
FBXO6,24.195,0.088,0.175,61.6
C1orf21,0.122,0.11,6.516,0.43
SWT1,22.615,5,2.5325,47
MAD2L2,97.84,382,0.082,1.375
IVNS1ABP,421.5,566,101,314
KIAA2013,45,0.28,10.5325,123.5
MFN2,5.11,294,0.16,1.025
PRG4,74.15,3.4,2.94,55
SMG7,116.63,2.7,348.5,604.525
NCF2,0.4835,0.035,0.033,0.055
SLC35D1,333.5,327,214,444.5
GADD45A,147.5,1327,826,452.525
PRDM2,480,1883,1407.5,418
RGS2,2436.5,1346,729.65,1394
RO60,2039,663,1881.5,1245.5
UCHL5,174.6,0.73,77,447
BCAS2,2723.5,2250,58.435,1662.5
SRSF11,3134,2317,3566,3430.5
CTH,0.4235,117,0.256,0.195
PLEKHM2,10.8,45,0.2185,110.675
PHTF1,76.45,163,0.132,180.125
ZBTB17,26.5485,94,53.017,0.82
CD58,490,988,739,1503.5
CD2,8782.5,16006,10209.5,14246.5
TTF2,476.5,979,86,197.1
KIF21B,29.115,6.3,0.017,6.075
TMEM9,185,133,0.067,772.5
ADPRHL2,82.5,44,3.5,168.1
MAP7D1,95.74,107,132.5,335.555
WARS2,62.516,2.9,0.0345,166.5
MRPS15,354,919,13.155,312
EXOC8,116.516,2.1,0.275,47
GNPAT,50.85,477,9.565,195
TSNAX,50.095,108,2.9,471.5
C1orf109,138.55,0.28,0.0655,1.53
RRAGC,40.5,16,218.5,1.7
LGALS8,768,2771,386,1084
MTR,102.6,676,420,302.275
RLF,211,1387,100.2,598.5
KMO,0.764,0.088,0.5175,0.21
ZNF684,0.361,97,0.08,6.5
AKT3,45.516,11,1.8,460
ETV3,396.5,1163,109.145,451.5
ACADM,45.5,6.5,0.085,511.1
SLAMF1,512.5,734,293.5,916
CD48,1122.5,1341,189.6,760.5
SDHB,251,1431,485,433.5
RPF1,640.5,161,1260.5,783
KDM5B,149.175,85,291.5,1246.5
UAP1,747,481,109.13,22.195
CTBS,112.595,0.25,0.2745,90.2
KLHL12,0.415,20,0.085,0.038
SSX2IP,49.016,0.16,0.016,0.08
RBBP5,1527.5,320,728.5,655
GBP3,155,140,0.017,410.05
GBP1,398,697,39.5,2047.5
GPR89A,56,1297,0.0495,205.5
RAB29,181,1.9,60.295,727
CD160,14.5485,1.4,0.136,0.415
ECE1,64.516,1.7,2.04,509
HMGCL,64.95,0.07,0.0485,68
ID3,436.5,431,1.38,134.2
CR2,0.155,0.28,0.016,0.265
CD46,624,1261,135.5,704
PRPF3,430.5,2.4,156.5325,73
SLC2A1,2.4,274,2.55,0.6
EBNA1BP2,518.5,389,90.275,329
CDC20,0.016,0.14,54.0325,0.0265
ATP6V0B,1276.5,1031,268,636.5
ERI3,6,0.32,276.5,39.075
AKR1A1,40.75,329,338.155,164
PRDX1,776.5,474,950,807.5
PIK3R3,90.5485,0.12,0.6,5.025
BLZF1,38.195,366,0.1645,42.6
SLC19A2,0.007,0.035,0.016,0.013
NSUN4,59.225,3,82,98.25
TMED5,141.9,1358,1397,202
DR1,886,2050,759,1587.5
PRRC2C,2318,6177,2309,2517
VAMP4,29.2,45,0.0325,474
FASLG,183,93,1.55,0.195
PTBP2,318.95,321,320,444
TNFSF4,585,49,18,8.525
PRDX6,916.5,2407,1654,953.5
DARS2,32.007,0.88,0.5,2.9
UTP25,55.905,8,1.0325,20.05
SERPINC1,12.014,0.035,0.017,0.025
RCAN3,917.5,536,235,420.5
SYF2,1596.5,1338,1436,1117
RSRP1,737,955,292.7,1529
SLC35A3,107.06,0.11,0.13,118.5
RCOR3,35.355,42,211.5,172
STMN1,159,605,67.95,1224
MTFR1L,102.15,45,0.016,35.025
RPS6KA1,56.115,75,0.082,0.138
DHDDS,2.45,243,0.2595,583.5
NENF,7.24,196,0.065,0.365
NSL1,188.55,102,468.66,90.975
ARID1A,549.5,441,203.675,72.525
CENPF,330.5,451,325.15,298.33
RPA2,138,1201,18.71,694.125
PPP1R8,117.615,104,272.55,38.5
STX12,45.95,492,393.57,0.66
OSBPL9,163.35,163,0.25,188.55
TXNDC12,982.5,2473,1157,681.5
ESYT2,663,993,212.35,762
CD3EAP,26.175,0.018,0.033,8.065
MESD,774,529,905.5,1295
RCN2,162.885,64,161.55,0.605
CTSD,460.5,249,414,433.5
STAG1,129.225,6,282.5345,61.225
STK11,21,35,0.465,2.5
KMT2A,1003,1951,1338,1553
APOA1,47.19,0.46,0.155,0.1015
RPS25,6835.5,7751,3815,6548.5
DDX59,19.66,13,356,999
CAMSAP2,1.265,148,1.925,0.065
ATF6,675,173,365.2,84.5
MREG,10.5,370,0.0505,0.0265
FASTKD2,0.093,146,472.5,182.5
NRP2,0.182,0.07,0.15,0.195
CREB1,327.5,274,276.5,104
TTR,35.014,0.035,0.121,0.3015
LRMP,1046,360,437,838.5
SPCS2,3183,3180,1723.5,3529.5
ELOVL4,0.007,33,0.65,0.0265
CASP8AP2,290,227,616.5,28.9
HMGN3,508,756,165.5,1129.5
CNR1,0.014,0.018,0.017,0.16
ANKRD13C,365,248,63.5325,156.05
PHF3,792.5,1130,733.5,3019
PLAGL1,2.735,0.035,24.74,2241
FBXO30,9.63,139,0.0345,32.025
TNFAIP3,3350.5,12583,2213.5,6121
AKAP7,0.446,0.018,0.016,114.05
SGK1,0.97,1.2,1.045,0.625
RNF146,9.516,0.035,0.082,0.0265
PMFBP1,11.0325,0.039,0.405,0.295
FBXL5,182.5,0.63,118.07,143.4
MED28,300,378,0.3,109.8
SLC16A7,56.0325,3.1,7,24.175
RXYLT1,90.5,0.18,8,217.513
ZNF430,588,0.19,15.5485,0.58
VAMP8,1742,1150,1673,1747
MYL12B,5522,6607,2672.5,4508
FOXO3,465.5,62,172.385,111
RPN2,1618.5,1038,361.5,1069
TGIF2,137.55,64,2.3,132.5
SPP1,38.11,0.93,675.395,168.7
CCNI,2824.5,2488,2531.5,4036.5
MFSD1,234.87,209,2.45,25.55
RAB3GAP2,179.13,134,340.65,290.85
UBN1,27.15,35,339.45,196
KLF12,226.5325,245,97,204.5
UCHL3,56.355,55,137.5,53.75
HS1BP3,0.0325,0.035,0.017,0.145
WDR35,1.4485,73,0.0485,330.013
CCND2,2927,2221,923.5,1155
ELL2,815,665,1233.5,1478.5
CYP20A1,1115.5,171,454,571.95
NDUFB3,1366.5,437,486,884.5
UBE2B,2182.5,2312,2129,1899.5
KLF9,38.6,1062,445,0.585
TJP2,0.095,0.035,0.065,0.355
ITGB1BP1,338.5,1302,138.405,791.5
CPSF3,15.3,98,566.5,316
SENP5,2137,288,655.5,1975.5
C1orf198,0.3775,111,0.016,0.34
HEATR1,67.0325,387,0.0325,263.5
PTBP3,545,1001,841.5,2166
RAD23B,85.7,304,212.115,327
FKBP15,597.5,86,96.85,153.5
CTNNAL1,57.66,358,451.5,847.5
ABITRAM,4.385,107,0.13,4.425
WDR34,0.42,0.018,12.516,2.3
SET,15372,8708,11702.5,14230.5
GLE1,23.885,0.14,0.305,72.59
RAB14,266,455,5.145,106
CNTRL,557,950,280.15,1505
FBXW2,286.5,93,327.5,221.125
PHF19,514.3,510,0.1945,535
NEK6,0.235,0.35,0.017,0.013
PPP6C,830.5,1232,160.0325,218
NDUFA8,456.5,50,11.26,299.5
RBM18,645,658,0.18,461.65
HSDL2,158,136,16.05,158
MAPKAP1,12.34,18,48.0345,226.63
NR4A3,218.5,233,269.05,1.7
ALG2,205.9,225,218.645,55.38
KDSR,498.5,164,436.5,534.5
VPS4B,275.3,1336,788.5,493
C19orf25,59.16,0.35,0.0345,280
YLPM1,394,118,377.5,135.5
IFI27L2,591.5,710,941.5,443
BBOF1,18.4,0.035,0.016,12
NEK9,84.85,216,177.7,303.5
ACYP1,57.0485,0.21,20.145,50.5265
IFT43,178.5,317,16.016,68.5
NPC2,259.5,88,146,291
DNAL1,0.0875,0.053,0.016,0.21
IRF2BPL,336.5,41,51,495
ACOT2,11.58,63,91.5,65.525
AREL1,38,414,1.667,4.675
MLH3,12.5,0.018,0.0825,95.025
FLVCR2,195.5,0.16,70,741
ABCD4,927.5,33,379.065,322.5
SLIRP,844.5,1967,927,1261.5
RBM25,1969,2013,876,2212
ALDH6A1,164.021,94,0.225,33.685
GPR68,7.2,83,0.085,134.175
EIF2B2,32.615,480,0.24,99
NRDE2,126.75,277,2.65,98.5
COQ6,50.66,0.094,108.055,146
ZNF410,350.5,323,464.5,380.5
RHOQ,113.6,0.12,0.395,140.45
SUPT7L,30.74,720,1.19,63.5
DNMT3A,133.5,216,5.125,555
TMEM214,0.8485,0.6,0.227,0.225
ATAD2B,269.5325,99,1.067,183.1
ATL2,5.825,56,9,169
YPEL5,4237,7234,2384,2635
FAM98A,82.5325,0.07,0.115,193
YIPF4,546.5,840,192.13,155.225
AFTPH,783,177,1223.5,153.4
BCL11A,2.19,2.1,169.7,9.1
CRIPT,505.5,259,252,88.375
EPCAM,0.396,210,0.085,0.0515
SLC17A5,126.5,418,1.0325,19
OGFRL1,273.0415,0.053,0.575,1.265
SLF2,166.1,264,556.6,84
IDE,10.0485,0.035,147,4.075
IFIT3,0.1335,169,291.76,542.025
IFIT2,0.17,44,6.85,217.5
GPAM,0.75,0.053,39.5,4.5
CUTC,45.615,22,0.067,279
MXI1,79.66,144,45.095,86.5
SMNDC1,46.855,451,460,149.5
C10orf88,0.46,0.018,2.65,2.65
