##Databases: KEGG PATHWAY, Reactome
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Mitotic Metaphase and Anaphase	Reactome	R-HSA-2555396	2	195	0.0108946131643	0.0269051894273	SMC3|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2555396
Mitotic Prometaphase	Reactome	R-HSA-68877	2	196	0.0110002427909	0.0269051894273	SMC3|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68877
Non-homologous end-joining	KEGG PATHWAY	hsa03450	1	13	0.0111170747981	0.0269051894273	PRKDC	http://www.genome.jp/kegg-bin/show_pathway?hsa03450/hsa:5591%09red
IRF3-mediated induction of type I IFN	Reactome	R-HSA-3270619	1	13	0.0111170747981	0.0269051894273	PRKDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3270619
rRNA processing	Reactome	R-HSA-72312	2	203	0.0117523459947	0.0281071736074	WDR43|TRMT10C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72312
Mitotic Telophase/Cytokinesis	Reactome	R-HSA-68884	1	14	0.011906511042	0.0281071736074	SMC3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68884
RUNX3 regulates NOTCH signaling	Reactome	R-HSA-8941856	1	14	0.011906511042	0.0281071736074	SNW1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8941856
Signaling by cytosolic FGFR1 fusion mutants	Reactome	R-HSA-1839117	1	15	0.0126953310641	0.0297256532232	CPSF6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1839117
SUMOylation of DNA methylation proteins	Reactome	R-HSA-4655427	1	16	0.0134835353343	0.0308195093356	UBE2I	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4655427
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells	Reactome	R-HSA-210744	1	16	0.0134835353343	0.0308195093356	SNW1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-210744
STING mediated induction of host immune responses	Reactome	R-HSA-1834941	1	16	0.0134835353343	0.0308195093356	PRKDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1834941
ESR-mediated signaling	Reactome	R-HSA-8939211	2	221	0.0137868765743	0.0312647279796	SMC3|POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8939211
RIP-mediated NFkB activation via ZBP1	Reactome	R-HSA-1810476	1	17	0.0142711243225	0.0318611147666	DHX9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1810476
SUMOylation of transcription factors	Reactome	R-HSA-3232118	1	17	0.0142711243225	0.0318611147666	UBE2I	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3232118
Regulation of TP53 Activity through Methylation	Reactome	R-HSA-6804760	1	19	0.01584445833	0.0345697272656	STRAP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6804760
Signaling by FGFR2 IIIa TM	Reactome	R-HSA-8851708	1	19	0.01584445833	0.0345697272656	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8851708
Processing of Intronless Pre-mRNAs	Reactome	R-HSA-77595	1	19	0.01584445833	0.0345697272656	PCF11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-77595
NOTCH4 Intracellular Domain Regulates Transcription	Reactome	R-HSA-9013695	1	20	0.0166302042871	0.0360112694336	SNW1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9013695
ZBP1(DAI) mediated induction of type I IFNs	Reactome	R-HSA-1606322	1	21	0.0174153368375	0.0374299776806	DHX9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1606322
mTORC1-mediated signalling	Reactome	R-HSA-166208	1	22	0.0181998564493	0.0388263604252	EIF4E	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-166208
Abortive elongation of HIV-1 transcript in the absence of Tat	Reactome	R-HSA-167242	1	23	0.0189837635902	0.0402009111322	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167242
Signaling by Nuclear Receptors	Reactome	R-HSA-9006931	2	264	0.0192112895101	0.04037526889	SMC3|POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006931
Signal Transduction	Reactome	R-HSA-162582	6	2689	0.0195559450598	0.04037526889	SNW1|CHD4|SMC3|POLR2G|EIF4E|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162582
MicroRNA (miRNA) biogenesis	Reactome	R-HSA-203927	1	24	0.0197670587274	0.04037526889	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-203927
NOTCH3 Intracellular Domain Regulates Transcription	Reactome	R-HSA-9013508	1	24	0.0197670587274	0.04037526889	SNW1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9013508
SUMOylation of intracellular receptors	Reactome	R-HSA-4090294	1	24	0.0197670587274	0.04037526889	UBE2I	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4090294
FGFR1 mutant receptor activation	Reactome	R-HSA-1839124	1	25	0.0205497423279	0.0416783506369	CPSF6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1839124
FGFR2 alternative splicing	Reactome	R-HSA-6803529	1	26	0.0213318148583	0.0429619767776	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6803529
RNA Pol II CTD phosphorylation and interaction with CE	Reactome	R-HSA-77075	1	27	0.0221132767848	0.0439215428554	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-77075
RNA Pol II CTD phosphorylation and interaction with CE during HIV infection	Reactome	R-HSA-167160	1	27	0.0221132767848	0.0439215428554	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167160
Metabolism of carbohydrates	Reactome	R-HSA-71387	2	288	0.022568330002	0.044518349593	TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-71387
Notch-HLH transcription pathway	Reactome	R-HSA-350054	1	28	0.0228941285734	0.0448538029193	SNW1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-350054
PIWI-interacting RNA (piRNA) biogenesis	Reactome	R-HSA-5601884	1	29	0.0236743706896	0.0457598574402	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5601884
mRNA Capping	Reactome	R-HSA-72086	1	29	0.0236743706896	0.0457598574402	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72086
Regulation of TP53 Activity through Acetylation	Reactome	R-HSA-6804758	1	30	0.0244540035985	0.0466407485853	CHD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6804758
FGFR2 mutant receptor activation	Reactome	R-HSA-1839126	1	30	0.0244540035985	0.0466407485853	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1839126
RNA polymerase	KEGG PATHWAY	hsa03020	1	31	0.0252330277652	0.0478099473445	POLR2G	http://www.genome.jp/kegg-bin/show_pathway?hsa03020/hsa:5436%09red
Signaling by FGFR1 in disease	Reactome	R-HSA-5655302	1	32	0.026011443654	0.0486447777425	CPSF6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5655302
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	Reactome	R-HSA-2173796	1	32	0.026011443654	0.0486447777425	SNW1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2173796
Formation of the Early Elongation Complex	Reactome	R-HSA-113418	1	33	0.0267892517291	0.0494570801153	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-113418
Formation of the HIV-1 Early Elongation Complex	Reactome	R-HSA-167158	1	33	0.0267892517291	0.0494570801153	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167158
Pausing and recovery of Tat-mediated HIV elongation	Reactome	R-HSA-167238	1	34	0.0275664524545	0.0502477108031	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167238
Tat-mediated HIV elongation arrest and recovery	Reactome	R-HSA-167243	1	34	0.0275664524545	0.0502477108031	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167243
HIV elongation arrest and recovery	Reactome	R-HSA-167287	1	36	0.0291190337092	0.0524142606766	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167287
Pausing and recovery of HIV elongation	Reactome	R-HSA-167290	1	36	0.0291190337092	0.0524142606766	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167290
Thyroid cancer	KEGG PATHWAY	hsa05216	1	37	0.0298944151646	0.0534757240211	TPR	http://www.genome.jp/kegg-bin/show_pathway?hsa05216/hsa:7175%09red
Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	Reactome	R-HSA-8864260	1	38	0.030669191122	0.054188509467	UBE2I	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8864260
Regulation of beta-cell development	Reactome	R-HSA-186712	1	38	0.030669191122	0.054188509467	SNW1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-186712
mTOR signalling	Reactome	R-HSA-165159	1	39	0.0314433620434	0.0548829592031	EIF4E	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-165159
Signaling by FGFR2 in disease	Reactome	R-HSA-5655253	1	39	0.0314433620434	0.0548829592031	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5655253
@@Signaling by FGFR2	Reactome	R-HSA-5654738	1	66	0.0521189524566	0.0739421591502	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654738
SUMOylation of transcription cofactors	Reactome	R-HSA-3899300	1	43	0.0345340046003	0.0595556486521	UBE2I	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3899300
Formation of Incision Complex in GG-NER	Reactome	R-HSA-5696395	1	43	0.0345340046003	0.0595556486521	UBE2I	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5696395
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	Reactome	R-HSA-2173793	1	44	0.0353051572618	0.0605202290328	SNW1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2173793
NOTCH1 Intracellular Domain Regulates Transcription	Reactome	R-HSA-2122947	1	45	0.0360757076527	0.0605202290328	SNW1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2122947
Formation of HIV-1 elongation complex containing HIV-1 Tat	Reactome	R-HSA-167200	1	46	0.0368456562328	0.0605202290328	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167200
RNA Polymerase I Transcription Initiation	Reactome	R-HSA-73762	1	46	0.0368456562328	0.0605202290328	CHD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73762
Tat-mediated elongation of the HIV-1 transcript	Reactome	R-HSA-167246	1	46	0.0368456562328	0.0605202290328	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167246
HIV Transcription Elongation	Reactome	R-HSA-167169	1	46	0.0368456562328	0.0605202290328	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167169
RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	Reactome	R-HSA-73779	1	47	0.0376150034613	0.0605202290328	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73779
RNA Polymerase II HIV Promoter Escape	Reactome	R-HSA-167162	1	47	0.0376150034613	0.0605202290328	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167162
RNA Polymerase II Transcription Initiation And Promoter Clearance	Reactome	R-HSA-76042	1	47	0.0376150034613	0.0605202290328	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-76042
RNA Polymerase II Transcription Initiation	Reactome	R-HSA-75953	1	47	0.0376150034613	0.0605202290328	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75953
RNA Polymerase II Promoter Escape	Reactome	R-HSA-73776	1	47	0.0376150034613	0.0605202290328	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73776
HIV Transcription Initiation	Reactome	R-HSA-167161	1	47	0.0376150034613	0.0605202290328	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167161
Notch signaling pathway	KEGG PATHWAY	hsa04330	1	48	0.0383837497975	0.0607391205586	SNW1	http://www.genome.jp/kegg-bin/show_pathway?hsa04330/hsa:22938%09red
Signaling by NOTCH3	Reactome	R-HSA-9012852	1	48	0.0383837497975	0.0607391205586	SNW1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9012852
Formation of HIV elongation complex in the absence of HIV Tat	Reactome	R-HSA-167152	1	48	0.0383837497975	0.0607391205586	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167152
Formation of TC-NER Pre-Incision Complex	Reactome	R-HSA-6781823	1	54	0.0429836347332	0.0676463759735	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6781823
Cellular responses to stress	Reactome	R-HSA-2262752	2	422	0.0451710044309	0.0686281296921	TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2262752
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	Reactome	R-HSA-2894858	1	57	0.0452755022274	0.0686281296921	SNW1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2894858
E3 ubiquitin ligases ubiquitinate target proteins	Reactome	R-HSA-8866654	1	57	0.0452755022274	0.0686281296921	PRKDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8866654
Constitutive Signaling by NOTCH1 PEST Domain Mutants	Reactome	R-HSA-2644606	1	57	0.0452755022274	0.0686281296921	SNW1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2644606
Signaling by NOTCH1 PEST Domain Mutants in Cancer	Reactome	R-HSA-2644602	1	57	0.0452755022274	0.0686281296921	SNW1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2644602
Signaling by NOTCH1 in Cancer	Reactome	R-HSA-2644603	1	57	0.0452755022274	0.0686281296921	SNW1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2644603
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	Reactome	R-HSA-2894862	1	57	0.0452755022274	0.0686281296921	SNW1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2894862
Translation initiation complex formation	Reactome	R-HSA-72649	1	58	0.0460382648089	0.0690573972133	EIF4E	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72649
Ribosomal scanning and start codon recognition	Reactome	R-HSA-72702	1	58	0.0460382648089	0.0690573972133	EIF4E	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72702
Regulation of PTEN gene transcription	Reactome	R-HSA-8943724	1	59	0.0468004315244	0.0694769292733	CHD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8943724
Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	Reactome	R-HSA-72662	1	59	0.0468004315244	0.0694769292733	EIF4E	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72662
rRNA modification in the nucleus and cytosol	Reactome	R-HSA-6790901	1	60	0.0475620028288	0.0702454195626	WDR43	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6790901
RNA Polymerase II Transcription Elongation	Reactome	R-HSA-75955	1	61	0.0483229791768	0.0706447614362	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75955
Formation of RNA Pol II elongation complex 	Reactome	R-HSA-112382	1	61	0.0483229791768	0.0706447614362	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-112382
Cytosolic DNA-sensing pathway	KEGG PATHWAY	hsa04623	1	63	0.0498431488201	0.0724991255565	ADAR	http://www.genome.jp/kegg-bin/show_pathway?hsa04623/hsa:103%09red
Innate Immune System	Reactome	R-HSA-168249	3	1043	0.0508309138733	0.0735643376658	DHX9|DDX3X|PRKDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168249
Gap-filling DNA repair synthesis and ligation in TC-NER	Reactome	R-HSA-6782210	1	65	0.051360944084	0.0735918004786	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6782210
TP53 Regulates Transcription of DNA Repair Genes	Reactome	R-HSA-6796648	1	65	0.051360944084	0.0735918004786	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6796648
Dual incision in TC-NER	Reactome	R-HSA-6782135	1	66	0.0521189524566	0.0739421591502	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6782135
Interferon alpha/beta signaling	Reactome	R-HSA-909733	1	67	0.052876368593	0.0746489909548	ADAR	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-909733
Shigellosis	KEGG PATHWAY	hsa05131	1	68	0.0536331929455	0.0753480954552	U2AF1L4	http://www.genome.jp/kegg-bin/show_pathway?hsa05131/hsa:199746%09red
Nonhomologous End-Joining (NHEJ)	Reactome	R-HSA-5693571	1	69	0.0543894259661	0.0760395858166	PRKDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693571
RIG-I-like receptor signaling pathway	KEGG PATHWAY	hsa04622	1	70	0.0551450681061	0.0767235730172	DDX3X	http://www.genome.jp/kegg-bin/show_pathway?hsa04622/hsa:1654%09red
Developmental Biology	Reactome	R-HSA-1266738	3	1082	0.0555483396901	0.0769130857247	POLR2G|SNW1|EIF4A3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1266738
Signaling by NOTCH1	Reactome	R-HSA-1980143	1	71	0.0559001198168	0.0770298301782	SNW1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1980143
Signaling by TGF-beta Receptor Complex	Reactome	R-HSA-170834	1	72	0.0566545815491	0.0776977118388	SNW1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-170834
Transcription of the HIV genome	Reactome	R-HSA-167172	1	73	0.0574084537535	0.0783584582039	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167172
Nucleosome assembly	Reactome	R-HSA-774815	1	74	0.0581617368802	0.0786412216972	SMARCA5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-774815
Deposition of new CENPA-containing nucleosomes at the centromere	Reactome	R-HSA-606279	1	74	0.0581617368802	0.0786412216972	SMARCA5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-606279
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	Reactome	R-HSA-427389	1	76	0.0596665376996	0.0802988918574	CHD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-427389
Protein ubiquitination	Reactome	R-HSA-8852135	1	77	0.0604180562909	0.0805574083879	PRKDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8852135
EGFR tyrosine kinase inhibitor resistance	KEGG PATHWAY	hsa01521	1	79	0.0619193320811	0.0818016864191	EIF4E	http://www.genome.jp/kegg-bin/show_pathway?hsa01521/hsa:1977%09red
Transcription-Coupled Nucleotide Excision Repair (TC-NER)	Reactome	R-HSA-6781827	1	79	0.0619193320811	0.0818016864191	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6781827
Signaling by NOTCH4	Reactome	R-HSA-9013694	1	80	0.0626690901767	0.0824141459858	SNW1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9013694
Cellular responses to external stimuli	Reactome	R-HSA-8953897	2	516	0.0643760243078	0.0842740681847	TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8953897
RNA Polymerase II Pre-transcription Events	Reactome	R-HSA-674695	1	84	0.0656622676748	0.0851834823889	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-674695
Global Genome Nucleotide Excision Repair (GG-NER)	Reactome	R-HSA-5696399	1	84	0.0656622676748	0.0851834823889	UBE2I	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5696399
Longevity regulating pathway	KEGG PATHWAY	hsa04211	1	89	0.0693905995582	0.0892164851462	EIF4E	http://www.genome.jp/kegg-bin/show_pathway?hsa04211/hsa:1977%09red
B-WICH complex positively regulates rRNA expression	Reactome	R-HSA-5250924	1	89	0.0693905995582	0.0892164851462	SMARCA5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5250924
Transcriptional regulation by RUNX3	Reactome	R-HSA-8878159	1	93	0.0723627878234	0.0919391372272	SNW1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8878159
Pre-NOTCH Transcription and Translation	Reactome	R-HSA-1912408	1	93	0.0723627878234	0.0919391372272	SNW1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1912408
HDACs deacetylate histones	Reactome	R-HSA-3214815	1	94	0.0731043834202	0.0919391372272	CHD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3214815
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	Reactome	R-HSA-141444	1	94	0.0731043834202	0.0919391372272	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-141444
Amplification of signal from the kinetochores	Reactome	R-HSA-141424	1	94	0.0731043834202	0.0919391372272	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-141424
Processing of DNA double-strand break ends	Reactome	R-HSA-5693607	1	98	0.076064973225	0.0952465751687	UBE2I	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693607
NF-kappa B signaling pathway	KEGG PATHWAY	hsa04064	1	100	0.0775417987698	0.0966754893754	UBE2I	http://www.genome.jp/kegg-bin/show_pathway?hsa04064/hsa:7329%09red
Signaling by TGF-beta family members	Reactome	R-HSA-9006936	1	101	0.0782793457485	0.0971743602395	SNW1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006936
Ribosome biogenesis in eukaryotes	KEGG PATHWAY	hsa03008	1	105	0.0812237719886	0.0999677193705	WDR43	http://www.genome.jp/kegg-bin/show_pathway?hsa03008/hsa:23160%09red
NoRC negatively regulates rRNA expression	Reactome	R-HSA-427413	1	105	0.0812237719886	0.0999677193705	SMARCA5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-427413
Negative epigenetic regulation of rRNA expression	Reactome	R-HSA-5250941	1	108	0.0834260542271	0.101446953162	SMARCA5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5250941
HIF-1 signaling pathway	KEGG PATHWAY	hsa04066	1	109	0.0841590006599	0.101446953162	EIF4E	http://www.genome.jp/kegg-bin/show_pathway?hsa04066/hsa:1977%09red
RNA Polymerase I Promoter Clearance	Reactome	R-HSA-73854	1	109	0.0841590006599	0.101446953162	CHD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73854
Pre-NOTCH Expression and Processing	Reactome	R-HSA-1912422	1	109	0.0841590006599	0.101446953162	SNW1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1912422
RNA Polymerase I Transcription	Reactome	R-HSA-73864	1	110	0.0848913740001	0.101446953162	CHD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73864
Mitotic Spindle Checkpoint	Reactome	R-HSA-69618	1	110	0.0848913740001	0.101446953162	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69618
Chromosome Maintenance	Reactome	R-HSA-73886	1	110	0.0848913740001	0.101446953162	SMARCA5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73886
L13a-mediated translational silencing of Ceruloplasmin expression	Reactome	R-HSA-156827	1	111	0.0856231746855	0.101898654171	EIF4E	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-156827
GTP hydrolysis and joining of the 60S ribosomal subunit	Reactome	R-HSA-72706	1	112	0.0863544031538	0.102345959293	EIF4E	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72706
Nonsense-Mediated Decay (NMD)	Reactome	R-HSA-927802	1	115	0.0885446596269	0.104085150908	EIF4A3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-927802
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	Reactome	R-HSA-975957	1	115	0.0885446596269	0.104085150908	EIF4A3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-975957
Cap-dependent Translation Initiation	Reactome	R-HSA-72737	1	119	0.091457017042	0.106638141328	EIF4E	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72737
Eukaryotic Translation Initiation	Reactome	R-HSA-72613	1	119	0.091457017042	0.106638141328	EIF4E	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72613
Activation of HOX genes during differentiation	Reactome	R-HSA-5619507	1	121	0.0929097816399	0.107461916114	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5619507
Activation of anterior HOX genes in hindbrain development during early embryogenesis	Reactome	R-HSA-5617472	1	121	0.0929097816399	0.107461916114	POLR2G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5617472
Oocyte meiosis	KEGG PATHWAY	hsa04114	1	128	0.0979765929345	0.112869035061	SMC3	http://www.genome.jp/kegg-bin/show_pathway?hsa04114/hsa:9126%09red
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	Reactome	R-HSA-5693567	1	132	0.100859477941	0.115727209749	UBE2I	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693567
